"AdventurersGuild.Prestige 1 rank 7 short placeholder","&e⚜Ⅰ&6&l✧&eⅤⅠⅠ","&e⚜Ⅰ&6&l✧&eⅤⅠⅠ"
"AdventurersGuild.Prestige 1 rank 8","&ePrestige 1 &1Elite","&ePrestigio 1 &1Élite"
"AdventurersGuild.Prestige 1 rank 8 short placeholder","&e⚜Ⅰ&6&l✧&eⅤⅠⅠⅠ","&e⚜Ⅰ&6&l✧&eⅤⅠⅠⅠ"
"AdventurersGuild.Prestige 1 rank 9","&ePrestige 1 &5Master","&ePrestigio 1 &lMaestro"
"AdventurersGuild.Prestige 1 rank 9 short placeholder","&e⚜Ⅰ&6&l✧&eⅠⅩ","&e⚜Ⅰ&6&l✧&eⅠⅩ"
"AdventurersGuild.Prestige 10 rank 0","&5Prestige 10 &8Commoner","&5Prestigio 10 &8Plebeyo"
"AdventurersGuild.Prestige 10 rank 0 short placeholder","&5⚜Ⅹ&6&l✧&e0","&5⚜Ⅹ&6&l✧&e0"
"AdventurersGuild.Prestige 10 rank 1","&5Prestige 10 &fRookie","&5Prestigio 10 &fPrincipiante"
"AdventurersGuild.Prestige 10 rank 1 short placeholder","&5⚜Ⅹ&6&l✧&eⅠ","&5⚜Ⅹ&6&l✧&eⅠ"
"AdventurersGuild.Prestige 10 rank 10","&5Prestige 10 &5Hero","&5Prestigio 10 &5Héroe"
"AdventurersGuild.Prestige 10 rank 10 short placeholder","&5⚜Ⅹ&6&l✧&eⅩ","&5⚜Ⅹ&6&l✧&eⅩ"
"AdventurersGuild.Prestige 10 rank 11","&5Prestige 10 &5Legend","&5Prestigio 10 &5Leyenda"
"AdventurersGuild.Prestige 10 rank 11 short placeholder","&5⚜Ⅹ&6&l✧&eⅩⅠ","&5⚜Ⅹ&6&l✧&eⅩⅠ"
"AdventurersGuild.Prestige 10 rank 12","&5Prestige 10 &5Myth","&5Prestigio 10 &5Mito"
"AdventurersGuild.Prestige 10 rank 12 short placeholder","&5⚜Ⅹ&6&l✧&eⅩⅠⅠ","&5⚜Ⅹ&6&l✧&eⅩⅠⅠ"
"AdventurersGuild.Prestige 10 rank 13","&5Prestige 10 &5Immortal","&5Prestigio 10 &5Inmortal"
"AdventurersGuild.Prestige 10 rank 13 short placeholder","&5⚜Ⅹ&6&l✧&eⅩⅠⅠⅠ","&5⚜Ⅹ&6&l✧&eⅩⅠⅠⅠ"
"AdventurersGuild.Prestige 10 rank 14","&5Prestige 10 &5Chosen","&5Prestigio 10 &5Elegido"
"AdventurersGuild.Prestige 10 rank 14 short placeholder","&5⚜Ⅹ&6&l✧&eⅩⅠⅤ","&5⚜Ⅹ&6&l✧&eⅩⅠⅤ"
"AdventurersGuild.Prestige 10 rank 15","&5Prestige 10 &5Ascendant","&5Prestigio 10 &5Ascendido"
"AdventurersGuild.Prestige 10 rank 15 short placeholder","&5⚜Ⅹ&6&l✧&eⅩⅤ","&5⚜Ⅹ&6&l✧&eⅩⅤ"
"AdventurersGuild.Prestige 10 rank 16","&5Prestige 10 &5Titan","&5Prestigio 10 &5Titan"
"AdventurersGuild.Prestige 10 rank 16 short placeholder","&5⚜Ⅹ&6&l✧&eⅩⅤⅠ","&5⚜Ⅹ&6&l✧&eⅩⅤⅠ"
"AdventurersGuild.Prestige 10 rank 17","&5Prestige 10 &5Demigod","&5Prestigio 10 &5Demiurgo"
"AdventurersGuild.Prestige 10 rank 17 short placeholder","&5⚜Ⅹ&6&l✧&eⅩⅤⅠⅠ","&5⚜Ⅹ&6&l✧&eⅩⅤⅠⅠ"
"AdventurersGuild.Prestige 10 rank 18","&5Prestige 10 &5Deity","&5Prestigio 10 &5Deidad"
"AdventurersGuild.Prestige 10 rank 18 short placeholder","&5⚜Ⅹ&6&l✧&eⅩⅤⅠⅠⅠ","&5⚜Ⅹ&6&l✧&eⅩⅤⅠⅠⅠ"
"AdventurersGuild.Prestige 10 rank 19","&5Prestige 10 &5Godhunter","&5Prestigio 10 &5Cazador de dioses"
"AdventurersGuild.Prestige 10 rank 19 short placeholder","&5⚜Ⅹ&6&l✧&eⅩⅠⅩ","&5⚜Ⅹ&6&l✧&eⅩⅠⅩ"
"AdventurersGuild.Prestige 10 rank 2","&5Prestige 10 &fNovice","&5Prestigio 10 &fNovato"
"AdventurersGuild.Prestige 10 rank 2 short placeholder","&5⚜Ⅹ&6&l✧&eⅠⅠ","&5⚜Ⅹ&6&l✧&eⅠⅠ"
"AdventurersGuild.Prestige 10 rank 20","&5Prestige 10 &5Godslayer","&5Prestigio 10 &5Asesino de Dioses"
"AdventurersGuild.Prestige 10 rank 20 short placeholder","&5⚜Ⅹ&6&l✧&eⅩⅩ","&5⚜Ⅹ&6&l✧&eⅩⅩ"
"AdventurersGuild.Prestige 10 rank 3","&5Prestige 10 &fApprentice","&5Prestigio 10 &fAprendiz"
"AdventurersGuild.Prestige 10 rank 3 short placeholder","&5⚜Ⅹ&6&l✧&eⅠⅠⅠ","&5⚜Ⅹ&6&l✧&eⅠⅠⅠ"
"AdventurersGuild.Prestige 10 rank 4","&5Prestige 10 &2Adventurer","&5Prestigio 10 &2Aventurero"
"AdventurersGuild.Prestige 10 rank 4 short placeholder","&5⚜Ⅹ&6&l✧&eⅠⅤ","&5⚜Ⅹ&6&l✧&eⅠⅤ"
"AdventurersGuild.Prestige 10 rank 5","&5Prestige 10 &2Journeyman","&5Prestigio 10 &2Viajero"
"AdventurersGuild.Prestige 10 rank 5 short placeholder","&5⚜Ⅹ&6&l✧&eⅤ","&5⚜Ⅹ&6&l✧&eⅤ"
"AdventurersGuild.Prestige 10 rank 6","&5Prestige 10 &2Adept","&5Prestigio 10 &2Adepto"
"AdventurersGuild.Prestige 10 rank 6 short placeholder","&5⚜Ⅹ&6&l✧&eⅤⅠ","&5⚜Ⅹ&6&l✧&eⅤⅠ"
"AdventurersGuild.Prestige 10 rank 7","&5Prestige 10 &1Veteran","&5Prestigio 10 &1Veterano"
"AdventurersGuild.Prestige 10 rank 7 short placeholder","&5⚜Ⅹ&6&l✧&eⅤⅠⅠ","&5⚜Ⅹ&6&l✧&eⅤⅠⅠ"
"AdventurersGuild.Prestige 10 rank 8","&5Prestige 10 &1Elite","&5Prestigio 10 &1Élite"
"AdventurersGuild.Prestige 10 rank 8 short placeholder","&5⚜Ⅹ&6&l✧&eⅤⅠⅠⅠ","&5⚜Ⅹ&6&l✧&eⅤⅠⅠⅠ"
"AdventurersGuild.Prestige 10 rank 9","&5Prestige 10 &5Master","&5Prestigio 10 &lMaestro"
"AdventurersGuild.Prestige 10 rank 9 short placeholder","&5⚜Ⅹ&6&l✧&eⅠⅩ","&5⚜Ⅹ&6&l✧&eⅠⅩ"
"AdventurersGuild.Prestige 2 rank 0","&2Prestige 2 &8Commoner","&2Prestigio 2 &8Plebeyo"
"AdventurersGuild.Prestige 2 rank 0 short placeholder","&2⚜ⅠⅠ&6&l✧&e0","&2⚜ⅠⅠ&6&l✧&e0"
"AdventurersGuild.Prestige 2 rank 1","&2Prestige 2 &fRookie","&2Prestigio 2 &fPrincipiante"
"AdventurersGuild.Prestige 2 rank 1 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅠ","&2⚜ⅠⅠ&6&l✧&eⅠ"
"AdventurersGuild.Prestige 2 rank 10","&2Prestige 2 &5Hero","&2Prestigio 2 &5Héroe"
"AdventurersGuild.Prestige 2 rank 10 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅩ","&2⚜ⅠⅠ&6&l✧&eⅩ"
"AdventurersGuild.Prestige 2 rank 11","&2Prestige 2 &5Legend","&2Prestigio 2 &5Legend"
"AdventurersGuild.Prestige 2 rank 11 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅩⅠ","&2⚜ⅠⅠ&6&l✧&eⅩⅠ"
"AdventurersGuild.Prestige 2 rank 12","&2Prestige 2 &5Myth","&2Prestigio 2 &5Myth"
"AdventurersGuild.Prestige 2 rank 12 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅩⅠⅠ","&2⚜ⅠⅠ&6&l✧&eⅩⅠⅠ"
"AdventurersGuild.Prestige 2 rank 2","&2Prestige 2 &fNovice","&2Prestigio 2 &fNovato"
"AdventurersGuild.Prestige 2 rank 2 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅠⅠ","&2⚜ⅠⅠ&6&l✧&eⅠⅠ"
"AdventurersGuild.Prestige 2 rank 3","&2Prestige 2 &fApprentice","&2Prestigio 2 &fAprendiz"
"AdventurersGuild.Prestige 2 rank 3 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅠⅠⅠ","&2⚜ⅠⅠ&6&l✧&eⅠⅠⅠ"
"AdventurersGuild.Prestige 2 rank 4","&2Prestige 2 &2Adventurer","&2Prestigio 2 &2Aventurero"
"AdventurersGuild.Prestige 2 rank 4 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅠⅤ","&2⚜ⅠⅠ&6&l✧&eⅠⅤ"
"AdventurersGuild.Prestige 2 rank 5","&2Prestige 2 &2Journeyman","&2Prestigio 2 &2Viajero"
"AdventurersGuild.Prestige 2 rank 5 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅤ","&2⚜ⅠⅠ&6&l✧&eⅤ"
"AdventurersGuild.Prestige 2 rank 6","&2Prestige 2 &2Adept","&2Prestigio 2 &2Adepto"
"AdventurersGuild.Prestige 2 rank 6 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅤⅠ","&2⚜ⅠⅠ&6&l✧&eⅤⅠ"
"AdventurersGuild.Prestige 2 rank 7","&2Prestige 2 &1Veteran","&2Prestigio 2 &1Veterano"
"AdventurersGuild.Prestige 2 rank 7 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅤⅠⅠ","&2⚜ⅠⅠ&6&l✧&eⅤⅠⅠ"
"AdventurersGuild.Prestige 2 rank 8","&2Prestige 2 &1Elite","&2Prestigio 2 &1Élite"
"AdventurersGuild.Prestige 2 rank 8 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅤⅠⅠⅠ","&2⚜ⅠⅠ&6&l✧&eⅤⅠⅠⅠ"
"AdventurersGuild.Prestige 2 rank 9","&2Prestige 2 &5Master","&2Prestigio 2 &lMaestro"
"AdventurersGuild.Prestige 2 rank 9 short placeholder","&2⚜ⅠⅠ&6&l✧&eⅠⅩ","&2⚜ⅠⅠ&6&l✧&eⅠⅩ"
"AdventurersGuild.Prestige 3 rank 0","&aPrestige 3 &8Commoner","&aPrestigio 3 &8Plebeyo"
"AdventurersGuild.Prestige 3 rank 0 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&e0","&a⚜ⅠⅠⅠ&6&l✧&e0"
"AdventurersGuild.Prestige 3 rank 1","&aPrestige 3 &fRookie","&aPrestigio 3 &fPrincipiante"
"AdventurersGuild.Prestige 3 rank 1 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅠ","&a⚜ⅠⅠⅠ&6&l✧&eⅠ"
"AdventurersGuild.Prestige 3 rank 10","&aPrestige 3 &5Hero","&aPrestigio 3 &5Héroe"
"AdventurersGuild.Prestige 3 rank 10 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅩ","&a⚜ⅠⅠⅠ&6&l✧&eⅩ"
"AdventurersGuild.Prestige 3 rank 11","&aPrestige 3 &5Legend","&aPrestigio 3 &5Leyenda"
"AdventurersGuild.Prestige 3 rank 11 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅩⅠ","&a⚜ⅠⅠⅠ&6&l✧&eⅩⅠ"
"AdventurersGuild.Prestige 3 rank 12","&aPrestige 3 &5Myth","&aPrestigio 3 &5Mito"
"AdventurersGuild.Prestige 3 rank 12 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅩⅠⅠ","&a⚜ⅠⅠⅠ&6&l✧&eⅩⅠⅠ"
"AdventurersGuild.Prestige 3 rank 13","&aPrestige 3 &5Immortal","&aPrestigio 3 &5Inmortal"
"AdventurersGuild.Prestige 3 rank 13 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅩⅠⅠⅠ","&a⚜ⅠⅠⅠ&6&l✧&eⅩⅠⅠⅠ"
"AdventurersGuild.Prestige 3 rank 2","&aPrestige 3 &fNovice","&aPrestigio 3 &fNovato"
"AdventurersGuild.Prestige 3 rank 2 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅠⅠ","&a⚜ⅠⅠⅠ&6&l✧&eⅠⅠ"
"AdventurersGuild.Prestige 3 rank 3","&aPrestige 3 &fApprentice","&aPrestigio 3 &fAprendiz"
"AdventurersGuild.Prestige 3 rank 3 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅠⅠⅠ","&a⚜ⅠⅠⅠ&6&l✧&eⅠⅠⅠ"
"AdventurersGuild.Prestige 3 rank 4","&aPrestige 3 &2Adventurer","&aPrestigio 3 &2Aventurero"
"AdventurersGuild.Prestige 3 rank 4 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅠⅤ","&a⚜ⅠⅠⅠ&6&l✧&eⅠⅤ"
"AdventurersGuild.Prestige 3 rank 5","&aPrestige 3 &2Journeyman","&aPrestigio 3 &2Viajero"
"AdventurersGuild.Prestige 3 rank 5 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅤ","&a⚜ⅠⅠⅠ&6&l✧&eⅤ"
"AdventurersGuild.Prestige 3 rank 6","&aPrestige 3 &2Adept","&aPrestigio 3 &2Adepto"
"AdventurersGuild.Prestige 3 rank 6 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅤⅠ","&a⚜ⅠⅠⅠ&6&l✧&eⅤⅠ"
"AdventurersGuild.Prestige 3 rank 7","&aPrestige 3 &1Veteran","&aPrestigio 3 &1Veterano"
"AdventurersGuild.Prestige 3 rank 7 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅤⅠⅠ","&a⚜ⅠⅠⅠ&6&l✧&eⅤⅠⅠ"
"AdventurersGuild.Prestige 3 rank 8","&aPrestige 3 &1Elite","&aPrestigio 3 &1Élite"
"AdventurersGuild.Prestige 3 rank 8 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅤⅠⅠⅠ","&a⚜ⅠⅠⅠ&6&l✧&eⅤⅠⅠⅠ"
"AdventurersGuild.Prestige 3 rank 9","&aPrestige 3 &5Master","&aPrestigio 3 &lMaestro"
"AdventurersGuild.Prestige 3 rank 9 short placeholder","&a⚜ⅠⅠⅠ&6&l✧&eⅠⅩ","&a⚜ⅠⅠⅠ&6&l✧&eⅠⅩ"
"AdventurersGuild.Prestige 4 rank 0","&3Prestige 4 &8Commoner","&3Prestigio 4 &8Plebeyo"
"AdventurersGuild.Prestige 4 rank 0 short placeholder","&3⚜ⅠⅤ&6&l✧&e0","&3⚜ⅠⅤ&6&l✧&e0"
"AdventurersGuild.Prestige 4 rank 1","&3Prestige 4 &fRookie","&3Prestigio 4 &fPrincipiante"
"AdventurersGuild.Prestige 4 rank 1 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅠ","&3⚜ⅠⅤ&6&l✧&eⅠ"
"AdventurersGuild.Prestige 4 rank 10","&3Prestige 4 &5Hero","&3Prestigio 4 &5Héroe"
"AdventurersGuild.Prestige 4 rank 10 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅩ","&3⚜ⅠⅤ&6&l✧&eⅩ"
"AdventurersGuild.Prestige 4 rank 11","&3Prestige 4 &5Legend","&3Prestigio 4 &5Leyenda"
"AdventurersGuild.Prestige 4 rank 11 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅩⅠ","&3⚜ⅠⅤ&6&l✧&eⅩⅠ"
"AdventurersGuild.Prestige 4 rank 12","&3Prestige 4 &5Myth","&3Prestigio 4 &5Mito"
"AdventurersGuild.Prestige 4 rank 12 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅩⅠⅠ","&3⚜ⅠⅤ&6&l✧&eⅩⅠⅠ"
"AdventurersGuild.Prestige 4 rank 13","&3Prestige 4 &5Immortal","&3Prestigio 4 &5Inmortal"
"AdventurersGuild.Prestige 4 rank 13 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅩⅠⅠⅠ","&3⚜ⅠⅤ&6&l✧&eⅩⅠⅠⅠ"
"AdventurersGuild.Prestige 4 rank 14","&3Prestige 4 &5Chosen","&3Prestigio 4 &5Elegido"
"AdventurersGuild.Prestige 4 rank 14 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅩⅠⅤ","&3⚜ⅠⅤ&6&l✧&eⅩⅠⅤ"
"AdventurersGuild.Prestige 4 rank 2","&3Prestige 4 &fNovice","&3Prestigio 4 &fNovato"
"AdventurersGuild.Prestige 4 rank 2 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅠⅠ","&3⚜ⅠⅤ&6&l✧&eⅠⅠ"
"AdventurersGuild.Prestige 4 rank 3","&3Prestige 4 &fApprentice","&3Prestigio 4 &fAprendiz"
"AdventurersGuild.Prestige 4 rank 3 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅠⅠⅠ","&3⚜ⅠⅤ&6&l✧&eⅠⅠⅠ"
"AdventurersGuild.Prestige 4 rank 4","&3Prestige 4 &2Adventurer","&3Prestigio 4 &2Aventurero"
"AdventurersGuild.Prestige 4 rank 4 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅠⅤ","&3⚜ⅠⅤ&6&l✧&eⅠⅤ"
"AdventurersGuild.Prestige 4 rank 5","&3Prestige 4 &2Journeyman","&3Prestigio 4 &2Viajero"
"AdventurersGuild.Prestige 4 rank 5 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅤ","&3⚜ⅠⅤ&6&l✧&eⅤ"
"AdventurersGuild.Prestige 4 rank 6","&3Prestige 4 &2Adept","&3Prestigio 4 &2Adepto"
"AdventurersGuild.Prestige 4 rank 6 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅤⅠ","&3⚜ⅠⅤ&6&l✧&eⅤⅠ"
"AdventurersGuild.Prestige 4 rank 7","&3Prestige 4 &1Veteran","&3Prestigio 4 &1Veterano"
"AdventurersGuild.Prestige 4 rank 7 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅤⅠⅠ","&3⚜ⅠⅤ&6&l✧&eⅤⅠⅠ"
"AdventurersGuild.Prestige 4 rank 8","&3Prestige 4 &1Elite","&3Prestigio 4 &1Élite"
"AdventurersGuild.Prestige 4 rank 8 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅤⅠⅠⅠ","&3⚜ⅠⅤ&6&l✧&eⅤⅠⅠⅠ"
"AdventurersGuild.Prestige 4 rank 9","&3Prestige 4 &5Master","&3Prestigio 4 &lMaestro"
"AdventurersGuild.Prestige 4 rank 9 short placeholder","&3⚜ⅠⅤ&6&l✧&eⅠⅩ","&3⚜ⅠⅤ&6&l✧&eⅠⅩ"
"AdventurersGuild.Prestige 5 rank 0","&bPrestige 5 &8Commoner","&bPrestigio 5 &8Plebeyo"
"AdventurersGuild.Prestige 5 rank 0 short placeholder","&b⚜Ⅴ&6&l✧&e0","&b⚜Ⅴ&6&l✧&e0"
"AdventurersGuild.Prestige 5 rank 1","&bPrestige 5 &fRookie","&bPrestigio 5 &fPrincipiante"
"AdventurersGuild.Prestige 5 rank 1 short placeholder","&b⚜Ⅴ&6&l✧&eⅠ","&b⚜Ⅴ&6&l✧&eⅠ"
"AdventurersGuild.Prestige 5 rank 10","&bPrestige 5 &5Hero","&bPrestigio 5 &5Héroe"
"AdventurersGuild.Prestige 5 rank 10 short placeholder","&b⚜Ⅴ&6&l✧&eⅩ","&b⚜Ⅴ&6&l✧&eⅩ"
"AdventurersGuild.Prestige 5 rank 11","&bPrestige 5 &5Legend","&bPrestigio 5 &5Leyenda"
"AdventurersGuild.Prestige 5 rank 11 short placeholder","&b⚜Ⅴ&6&l✧&eⅩⅠ","&b⚜Ⅴ&6&l✧&eⅩⅠ"
"AdventurersGuild.Prestige 5 rank 12","&bPrestige 5 &5Myth","&bPrestigio 5 &5Mito"
"AdventurersGuild.Prestige 5 rank 12 short placeholder","&b⚜Ⅴ&6&l✧&eⅩⅠⅠ","&b⚜Ⅴ&6&l✧&eⅩⅠⅠ"
"AdventurersGuild.Prestige 5 rank 13","&bPrestige 5 &5Immortal","&bPrestigio 5 &5Inmortal"
"AdventurersGuild.Prestige 5 rank 13 short placeholder","&b⚜Ⅴ&6&l✧&eⅩⅠⅠⅠ","&b⚜Ⅴ&6&l✧&eⅩⅠⅠⅠ"
"AdventurersGuild.Prestige 5 rank 14","&bPrestige 5 &5Chosen","&bPrestigio 5 &5Elegido"
"AdventurersGuild.Prestige 5 rank 14 short placeholder","&b⚜Ⅴ&6&l✧&eⅩⅠⅤ","&b⚜Ⅴ&6&l✧&eⅩⅠⅤ"
"AdventurersGuild.Prestige 5 rank 15","&bPrestige 5 &5Ascendant","&bPrestigio 5 &5Ascendido"
"AdventurersGuild.Prestige 5 rank 15 short placeholder","&b⚜Ⅴ&6&l✧&eⅩⅤ","&b⚜Ⅴ&6&l✧&eⅩⅤ"
"AdventurersGuild.Prestige 5 rank 2","&bPrestige 5 &fNovice","&bPrestigio 5 &fNovato"
"AdventurersGuild.Prestige 5 rank 2 short placeholder","&b⚜Ⅴ&6&l✧&eⅠⅠ","&b⚜Ⅴ&6&l✧&eⅠⅠ"
"AdventurersGuild.Prestige 5 rank 3","&bPrestige 5 &fApprentice","&bPrestigio 5 &fAprendiz"
"AdventurersGuild.Prestige 5 rank 3 short placeholder","&b⚜Ⅴ&6&l✧&eⅠⅠⅠ","&b⚜Ⅴ&6&l✧&eⅠⅠⅠ"
"AdventurersGuild.Prestige 5 rank 4","&bPrestige 5 &2Adventurer","&bPrestigio 5 &2Aventurero"
"AdventurersGuild.Prestige 5 rank 4 short placeholder","&b⚜Ⅴ&6&l✧&eⅠⅤ","&b⚜Ⅴ&6&l✧&eⅠⅤ"
"AdventurersGuild.Prestige 5 rank 5","&bPrestige 5 &2Journeyman","&bPrestigio 5 &2Viajero"
"AdventurersGuild.Prestige 5 rank 5 short placeholder","&b⚜Ⅴ&6&l✧&eⅤ","&b⚜Ⅴ&6&l✧&eⅤ"
"AdventurersGuild.Prestige 5 rank 6","&bPrestige 5 &2Adept","&bPrestigio 5 &2Adepto"
"AdventurersGuild.Prestige 5 rank 6 short placeholder","&b⚜Ⅴ&6&l✧&eⅤⅠ","&b⚜Ⅴ&6&l✧&eⅤⅠ"
"AdventurersGuild.Prestige 5 rank 7","&bPrestige 5 &1Veteran","&bPrestigio 5 &1Veterano"
"AdventurersGuild.Prestige 5 rank 7 short placeholder","&b⚜Ⅴ&6&l✧&eⅤⅠⅠ","&b⚜Ⅴ&6&l✧&eⅤⅠⅠ"
"AdventurersGuild.Prestige 5 rank 8","&bPrestige 5 &1Elite","&bPrestigio 5 &1Élite"
"AdventurersGuild.Prestige 5 rank 8 short placeholder","&b⚜Ⅴ&6&l✧&eⅤⅠⅠⅠ","&b⚜Ⅴ&6&l✧&eⅤⅠⅠⅠ"
